Tracking Number,Reference Number(s),Status,Manifest Date,Shipper Name,Shipper City,Shipper State/Province,Shipper Country,Ship To Name,Ship To City,Ship To State/Province,Ship To Country,Service,Scheduled Delivery,Images,Alternate Address Delivery Notification Failed,Alternate Delivery Address Name,Alternate Delivery Address Phone,Alternate Delivery Address Address Line 1,Alternate Delivery Address Address Line 2,Alternate Delivery Address Address Line 3,Alternate Delivery Address City,Alternate Delivery Address State,Alternate Delivery Address Postal Code,Alternate Delivery Address Country,Alternate Tracking Number,Appointment Made,Appointment Requested Date,Appointment Requested Start Time,Appointment Requested End Time,Arrival Date,Arrival Time,Bill To Name,Bill To Account Number,Bill To Address Line 1,Bill To Address Line 2,Bill To Address Line 3,Bill To Address Line 4,Bill To Address Line 5,Bill To City,Bill To State,Bill To Postal Code,Bill To Country,Bill To Email Address,Bill To Fax Number,Bond Date,Bond Number,Booking Number,Carrier,Chargeable Weight,Chargeable Weight UOM,Charges,Clinical Trials Indicator,COD Amount Collected,COD Amount Due,COD Collected Currency Type,Commercial Invoice Removal,Commodity,Container,Customer Pickup,Date Delivered,Declared Value,Delivery Location,Delivery Preference,Delivery Time,Departure Date,Departure Time,Description of Goods,Doc Indicator,Earliest Delivery Time,Exception Description,Exception Resolution,Exception Status Description,Flight/Voyage,Handling Unit,Harmonized Code,Hazardous Materials,Hold at UPS Access Point Shipments,In-bond Entry Code,Infectious Substances Category A,Insured  Value,Insured Value Currency Code,Label Delivery Method,Large Package,Liftgate on Pickup,Liftgate on Delivery,Load Type,Location Assured,Manufacture Country,Master Bill of Lading,Mode of Transportation,Number of Pieces,Number of Pieces - UOM,Original Scheduled Delivery Date,Original Scheduled Delivery Time,Package Height,Package Length,Package Width,Package Dimensional Weight,Package Reference No. 1,Package Reference No. 2,Package Reference No. 3,Package Reference No. 4,Package Reference No. 5,Package Reference No. Type 1,Package Reference No. Type 2,Package Reference No. Type 3,Package Reference No. Type 4,Package Reference No. Type 5,Package Release Code Required,Pickup By Date,Pickup Preference,Postal Service Tracking ID,Product,Product Line,Received By,Residential Address,Return Services,Return To Name,Return To Attention,Return To Address Line 1,Return To Address Line 2,Return To Address Line 3,Return To City,Return To State/Province,Return To Postal Code,Return To Country,Return To Telephone,Return To Sender Indicator,Revised Door ETA Date,Revised Door ETA Time,Saturday Delivery,Scheduled Delivery Time,Ship To Attention,Ship To Address Line 1,Ship To Address Line 2,Ship To Address Line 3,Ship-to Address Line 4,Ship-to Address Line 5,Ship To Postal Code,Ship-to Email Address,Ship-to Fax Number,Ship To Telephone,Shipment Activity Date,Shipment Activity Time,Shipment Charge Type,Shipment Reference No. 1,Shipment Reference No. 2,Shipment Reference No. Type 1,Shipment Reference No. Type 2,Shipment Type,Shipment Volume,Ship To Location,Shipper Attention,Shipper Address Line 1,Shipper Address Line 2,Shipper Address Line 3,Shipper Address Line 4,Shipper Address Line 5,Shipper Postal Code,Shipper Email Address,Shipper Fax Number,Special Instructions,UPS carbon neutral,UPS Company Principal Customer Identification Number,UPS Delivery Intercept Indicator,UPS Delivery Intercept Origin,UPS Delivery Intercept Name of Requester,UPS Delivery Intercept Request Date,UPS Delivery Intercept Request Time,UPS Delivery Intercept Status,UPS Delivery Intercept Type,New Delivery Customer Name,New Delivery Attention,New Delivery Address 1,New Delivery Address 2,New Delivery Address 3,New Delivery City,New Delivery State/Province,New Delivery Postal Code,New Delivery Country,UPS Import Control Indicator,UPS Import Control Label Type,UPS Premium Care(TM),UPS Returns Flexible Access,UPS Returns ® Exchange,Vessel,Weight
1Z30151R0145702100,7/7 REP CATALOG REQUE|00658630|7/7 REP CATALOG REQUE|00658630|10158563|MEM0000000932439,Delivered,7/21/2017,,MEMPHIS,TN,US,,PORTLAND,OR,US,UPS Next Day Air,7/24/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/24/2017,No Value,FRONT DOOR,UPS will Deliver,9:52 AM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,1,,7/24/2017,10:30 AM,8,12,10,,7/7 REP CATALOG REQUE,658630,,10158563,MEM0000000932439,,,,,,NO,,UPS will Pick up,,,,,YES,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,97223,,,,7/24/2017,9:52 AM,Prepaid,7/7 REP CATALOG REQUE,658630,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,17.00 LBS
1Z30151R0243908444,SAMPLES|00658934|SAMPLES|00658934|10158610|MEM0000000940239,Delivered,7/21/2017,,MEMPHIS,TN,US,,LAS VEGAS,NV,US,UPS 2nd Day Air,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,FRONT DOOR,UPS will Deliver,6:18 PM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,3,,7/25/2017,By End Of Day,18,20,14,,SAMPLES,658934,,10158610,MEM0000000940239,,,,,,NO,,UPS will Pick up,,,,REL R15,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,SHOWROOM C0863,,,89106,,,,7/25/2017,6:18 PM,Prepaid,SAMPLES,658934,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,5.70 LBS
1Z30151R0245097059,SAMPLES|00658934|SAMPLES|00658934|10158610|MEM0000000940240,Delivered,7/21/2017,,MEMPHIS,TN,US,,LAS VEGAS,NV,US,UPS 2nd Day Air,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,FRONT DOOR,UPS will Deliver,6:18 PM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,3,,7/25/2017,By End Of Day,12,30,20,,SAMPLES,658934,,10158610,MEM0000000940240,,,,,,NO,,UPS will Pick up,,,,REL R15,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,SHOWROOM C0863,,,89106,,,,7/25/2017,6:18 PM,Prepaid,SAMPLES,658934,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.40 LBS
1Z30151R0245946033,SAMPLES|00658934|SAMPLES|00658934|10158610|MEM0000000940238,Delivered,7/21/2017,,MEMPHIS,TN,US,,LAS VEGAS,NV,US,UPS 2nd Day Air,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,FRONT DOOR,UPS will Deliver,6:18 PM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,3,,7/25/2017,By End Of Day,4,40,34,,SAMPLES,658934,,10158610,MEM0000000940238,,,,,,NO,,UPS will Pick up,,,,REL R15,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,SHOWROOM C0863,,,89106,,,,7/25/2017,6:18 PM,Prepaid,SAMPLES,658934,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,16.00 LBS
1Z30151R0343004472,658639,In Transit,7/21/2017,,MEMPHIS,TN,US,,COSTA MESA,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,92627,,,,7/21/2017,7:02 PM,Prepaid,,658639,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0343008049,658639,In Transit,7/21/2017,,MEMPHIS,TN,US,,COSTA MESA,CA,US,UPS Ground,7/27/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,16,,7/27/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,92627,,,,7/21/2017,6:01 PM,Prepaid,,658639,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0343027304,1045-1669|00658880|1045-1669|00658880|10158283|MEM0000000924789,Delivered,7/21/2017,,MEMPHIS,TN,US,,NAPLES,FL,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,RECEIVER,UPS will Deliver,10:26 AM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,11,,7/25/2017,By End Of Day,11,26,12,,1045-1669,658880,,10158283,MEM0000000924789,,,,,,NO,,UPS will Pick up,,,,EDWARDS,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,375 SANCTUARY RD WEST,,,34120,,,,7/25/2017,10:26 AM,Prepaid,1045-1669,658880,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,10.30 LBS
1Z30151R0343029080,658633,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,SUGARCREEK,OH,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,THE RECEIVING BUSINESS WAS CLOSED.,YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,15,,7/25/2017,By End Of Day,,,,,,,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,1900 ST ROUTE 39,,,44681,,,,7/26/2017,4:43 AM,Prepaid,,658633,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,12.00 LBS
1Z30151R0343041806,TWJC|00658648|TWJC|00658648|10158539|MEM0000000932428,Delivered,7/21/2017,,MEMPHIS,TN,US,,EPHRAIM,WI,US,UPS Ground,7/25/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,7/25/2017,No Value,GARAGE,UPS will Deliver,3:34 PM,,--,,NO,--,,,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,3,,7/25/2017,By End Of Day,19,23,10,,TWJC,658648,,10158539,MEM0000000932428,,,,,,NO,,UPS will Pick up,,,,CAIN,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,,,,54211,,,,7/25/2017,3:34 PM,Prepaid,TWJC,658648,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,24.60 LBS
1Z30151R0343052349,00658633|00658633,Out for Delivery,7/21/2017,,MEMPHIS,TN,US,,SUGARCREEK,OH,US,UPS Ground,7/26/2017,,,,,,,,,,,,,,,--,--,,--,,30151R,,,,,,,,,,,,,,,,,,,NO,,,,,,,,Not Avail.,No Value,,UPS will Deliver,,,--,DECOR,NO,--,THE RECEIVING BUSINESS WAS CLOSED.,YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,,,,,NO,NO,,NO,,,,NO,NO,NO,,NO,,,,15,,7/25/2017,By End Of Day,,,,,,658633,,,,,,,,,NO,,UPS will Pick up,,,,,NO,,,,,,,,,,,,NO,Not Avail.,1:01 AM,NO,By End Of Day,,,,1900 ST ROUTE 39,,,44681,,,,7/26/2017,4:43 AM,Prepaid,,658633,,,,,30151R,,,,,,,38141-8389,,,,NO,,NO,,,,--,,,,,,,,,,,,NO,,NO,NO,,,13.00 LBS
